Type,Timestamp,Date,Time,Morn_Aft,Day_of_Week,Day,Temperature[degC],Humidity[percent],PM1.0[ug/m^3],PM2.5[ug/m^3],PM10.0[ug/m^3],O3[ppb],O3_V,NO2[ppb],NO2[V],Pressure[Pa],Latitude[deg],Longitude[deg],Altitude[m],,Ontarian Pollutants,Ontarian Standards,AAQI guide,AQ calculated(need to add formula after discussion),Location,Site,AQ_Map,Description,,,,,,,,,,,,,
Weekend Average,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,45.393367,-75.683854,,,,,,#DIV/0!,Hopewell av/ Bank - Hopewell avenue public school,Site A,#DIV/0!,,,,,,,,,,,,,,
Total Average,,,,,,,19.55,56.7425,1.875,3.25,3.45,76.2475,32481.05,66.17,32516.25,101131.55,45.393367,-75.683854,,,,,,1,Hopewell av/ Bank - Hopewell avenue public school,Site A,Low Risk,,,,,,,,,,,,,,
Good Site,8/17/20,17-Aug-20,8:41:21,Morning,1,Weekday,23.155,67.03,2.7,3.95,4.3,36.31,32508.2,127.35,32491.3,100582.45,45.39268,-75.685342,,,,,,1,Hopewell/Grosvenor (47 Hopewell),Site B,Low Risk,,,,,,,,,,,,,,
,9/14/20,14-Sep-20,9:07,Morning,1,Weekday,14.645,50.825,0.1,0.15,0.25,85.69,32474.65,-16.23,32548.9,101779.35,45.39268,-75.685342,,,,,,,Hopewell/Grosvenor (47 Hopewell),Site B,Low Risk,,,,,,,,,,,,,,
,,,,Morning,6,Weekend,,,,,,,,,,,45.39268,-75.685342,,,,,,,Hopewell/Grosvenor (47 Hopewell),Site B,Low Risk,,,,,,,,,,,,,,
,,,,Morning,6,Weekend,,,,,,,,,,,45.39268,-75.685342,,,,,,,Hopewell/Grosvenor (47 Hopewell),Site B,Low Risk,,,,,,,,,,,,,,
Morning Average,,,,,,,18.9,58.9275,1.4,2.05,2.275,61,32491.425,55.56,32520.1,101180.9,45.39268,-75.685342,,,,,,1,Hopewell/Grosvenor (47 Hopewell),Site B,Low Risk,,,,,,,,,,,,,,
Afternoon Average,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,45.39268,-75.685342,,,,,,#DIV/0!,Hopewell/Grosvenor (47 Hopewell),Site B,#DIV/0!,,,,,,,,,,,,,,
Weekday Average,,,,,,,18.9,58.9275,1.4,2.05,2.275,61,32491.425,55.56,32520.1,101180.9,45.39268,-75.685342,,,,,,1,Hopewell/Grosvenor (47 Hopewell),Site B,Low Risk,,,,,,,,,,,,,,
Weekend Average,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,45.39268,-75.685342,,,,,,#DIV/0!,Hopewell/Grosvenor (47 Hopewell),Site B,#DIV/0!,,,,,,,,,,,,,,
Total Average,,,,,,,18.9,58.9275,1.4,2.05,2.275,61,32491.425,55.56,32520.1,101180.9,45.39268,-75.685342,,,,,,1,Hopewell/Grosvenor (47 Hopewell),Site B,Low Risk,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Low Risk,,,,,,,,,,,,,,
Location 10,08/22/2020 9:40:10,22-Aug-20,9:40,Morning,6,Weekend,23.57,52.37,1.2,2.2,2.5,60.37,32544.5,86.05,32547.3,100727.8,45.437719,-75.657378,,,,,,1,St Anne/Montréal - Mega Shelter,Site A,Low Risk,,,,,,,,,,,,,,
Bad site,,,,Morning,6,Weekend,,,,,,,,,,,45.437719,-75.657378,,,,,,,St Anne/Montréal - Mega Shelter,Site A,Low Risk,,,,,,,,,,,,,,
,,,,Morning,6,Weekend,,,,,,,,,,,45.437719,-75.657378,,,,,,,St Anne/Montréal - Mega Shelter,Site A,Low Risk,,,,,,,,,,,,,,
,,,,Morning,6,Weekend,,,,,,,,,,,45.437719,-75.657378,,,,,,,St Anne/Montréal - Mega Shelter,Site A,Low Risk,,,,,,,,,,,,,,
Morning Average,,,,,,,23.57,52.37,1.2,2.2,2.5,60.37,32544.5,86.05,32547.3,100727.8,45.437719,-75.657378,,,,,,1,St Anne/Montréal - Mega Shelter,Site A,Low Risk,,,,,,,,,,,,,,
Afternoon Average,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,45.437719,-75.657378,,,,,,#DIV/0!,St Anne/Montréal - Mega Shelter,Site A,#DIV/0!,,,,,,,,,,,,,,
Weekday Average,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,45.437719,-75.657378,,,,,,#DIV/0!,St Anne/Montréal - Mega Shelter,Site A,#DIV/0!,,,,,,,,,,,,,,
Weekend Average,,,,,,,23.57,52.37,1.2,2.2,2.5,60.37,32544.5,86.05,32547.3,100727.8,45.437719,-75.657378,,,,,,1,St Anne/Montréal - Mega Shelter,Site A,Low Risk,,,,,,,,,,,,,,
Total Average,,,,,,,23.57,52.37,1.2,2.2,2.5,60.37,32544.5,86.05,32547.3,100727.8,45.437719,-75.657378,,,,,,1,St Anne/Montréal - Mega Shelter,Site A,Low Risk,,,,,,,,,,,,,,
Good Site,08/22/2020 9:41:33,22-Aug-20,9:41,Morning,6,Weekend,23.6,50.75333333,1.166666667,2.1,2.566666667,62.76666667,32542.86667,98,32542.73333,100738.2333,45.439052,-75.658895,,,,,,1,St. Anne/ Monfort Vanier,Site B,Low Risk,,,,,,,,,,,,,,
,,,,Morning,6,Weekend,,,,,,,,,,,45.439052,-75.658895,,,,,,,St. Anne/ Monfort Vanier,Site B,Low Risk,,,,,,,,,,,,,,
,,,,Morning,6,Weekend,,,,,,,,,,,45.439052,-75.658895,,,,,,,St. Anne/ Monfort Vanier,Site B,Low Risk,,,,,,,,,,,,,,
,,,,Morning,6,Weekend,,,,,,,,,,,45.439052,-75.658895,,,,,,,St. Anne/ Monfort Vanier,Site B,Low Risk,,,,,,,,,,,,,,
Morning Average,,,,,,,23.6,50.75333333,1.166666667,2.1,2.566666667,62.76666667,32542.86667,98,32542.73333,100738.2333,45.439052,-75.658895,,,,,,1,St. Anne/ Monfort Vanier,Site B,Low Risk,,,,,,,,,,,,,,
Afternoon Average,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,45.439052,-75.658895,,,,,,#DIV/0!,St. Anne/ Monfort Vanier,Site B,#DIV/0!,,,,,,,,,,,,,,
Weekday Average,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,45.439052,-75.658895,,,,,,#DIV/0!,St. Anne/ Monfort Vanier,Site B,#DIV/0!,,,,,,,,,,,,,,
Weekend Average,,,,,,,23.6,50.75333333,1.166666667,2.1,2.566666667,62.76666667,32542.86667,98,32542.73333,100738.2333,45.439052,-75.658895,,,,,,1,St. Anne/ Monfort Vanier,Site B,Low Risk,,,,,,,,,,,,,,
Total Average,,,,,,,23.6,50.75333333,1.166666667,2.1,2.566666667,62.76666667,32542.86667,98,32542.73333,100738.2333,45.439052,-75.658895,,,,,,1,St. Anne/ Monfort Vanier,Site B,Low Risk,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Low Risk,,,,,,,,,,,,,,
Location 11,9/20/20 16:26,20-Sep-20,16:26:52 PM,Afternoon,7,Weekend,19.925,28.16,0.5,0.95,1.2,67.56,32539.55,-11.95,32588.65,102838.25,45.437719,-75.657378,,,,,,1.25,Shefford Rd/ Ch Montréal- Beacon Heights Retirement,Site A,Low Risk,,,,,,,,,,,,,,
Bad site,9/24/20 16:31,24-Sep-20,16:31,Afternoon,4,Weekday,22.17,42.01,0.9,1.9,2.3,27.31,32567.7,-7.17,32586.8,100763.9,45.437719,-75.657378,,,,,,1,Shefford Rd/ Ch Montréal- Beacon Heights Retirement,Site A,Low Risk,,,,,,,,,,,,,,
,9/26/20 9:57,26-Sep-20,9:57:18,Morning,6,Weekend,19.49,53.24,8.9,14.4,16.5,-29.67,32564.8,-104.61,32621,100961.6,45.437719,-75.657378,,,,,,1.5,Shefford Rd/ Ch Montréal- Beacon Heights Retirement,Site A,Low Risk,,,,,,,,,,,,,,
,9/01/20 8:41,1-Sep-20,8:41:14,Morning,2,Weekday,19.38,64.24,4.5,6.4,8.1,40.67,32505.8,107.37,32499.6,101049.3,45.437719,-75.657378,,,,,,1.5,Shefford Rd/ Ch Montréal- Beacon Heights Retirement,Site A,Low Risk,,,,,,,,,,,,,,
Morning Average,,,,,,,19.435,58.74,6.7,10.4,12.3,5.5,32535.3,1.38,32560.3,101005.45,45.437719,-75.657378,,,,,,1.5,Shefford Rd/ Ch Montréal- Beacon Heights Retirement,Site A,Low Risk,,,,,,,,,,,,,,
Afternoon Average,,,,,,,21.0475,35.085,0.7,1.425,1.75,47.435,32553.625,-9.56,32587.725,101801.075,45.437719,-75.657378,,,,,,1.125,Shefford Rd/ Ch Montréal- Beacon Heights Retirement,Site A,Low Risk,,,,,,,,,,,,,,
Weekday Average,,,,,,,20.775,53.125,2.7,4.15,5.2,33.99,32536.75,50.1,32543.2,100906.6,45.437719,-75.657378,,,,,,1.25,Shefford Rd/ Ch Montréal- Beacon Heights Retirement,Site A,Low Risk,,,,,,,,,,,,,,
Weekend Average,,,,,,,19.7075,40.7,4.7,7.675,8.85,18.945,32552.175,-58.28,32604.825,101899.925,45.437719,-75.657378,,,,,,1.375,Shefford Rd/ Ch Montréal- Beacon Heights Retirement,Site A,Low Risk,,,,,,,,,,,,,,
Total Average,,,,,,,20.24125,46.9125,3.7,5.9125,7.025,26.4675,32544.4625,-4.09,32574.0125,101403.2625,45.437719,-75.657378,,,,,,1.3125,Shefford Rd/ Ch Montréal- Beacon Heights Retirement,Site A,Low Risk,,,,,,,,,,,,,,
Good Site,9/20/20 16:43,20-Sep-20,16:43,Afternoon,7,Weekend,19.475,34.255,0.55,1.2,1.4,60.37,32544.6,13.145,32578.15,102808.35,45.439052,-75.658895,,,,,,1.5,Loyola park,Site B,Low Risk,,,,,,,,,,,,,,
,9/24/20 16:58,24-Sep-20,16:58:27,Afternoon,4,Weekday,20.83,46.72,1,2.1,2.8,-24.43,32603.2,4.78,32581.6,100767.3,45.439052,-75.658895,,,,,,1,Loyola park,Site B,Low Risk,,,,,,,,,,,,,,
,9/26/20,26-Sep-20,10:19:36,Morning,6,Weekend,18.815,59.58,9,13.7,15.45,-38.15,32570.6,-91.885,32616.1,100898.95,45.439052,-75.658895,,,,,,1.75,Loyola park,Site B,Low Risk,,,,,,,,,,,,,,
,9/01/20 8:49,1-Sep-20,8:49:04,Morning,2,Weekday,19.1,66.64,4.65,7.75,10.2,43.57,32503.3,74.91,32512.5,101046.95,45.439052,-75.658895,,,,,,1.5,Loyola park,Site B,Low Risk,,,,,,,,,,,,,,
Morning Average,,,,,,,18.9575,63.11,6.825,10.725,12.825,2.71,32536.95,-8.4875,32564.3,100972.95,45.439052,-75.658895,,,,,,1.625,Loyola park,Site B,Low Risk,,,,,,,,,,,,,,
Afternoon Average,,,,,,,20.1525,40.4875,0.775,1.65,2.1,17.97,32573.9,8.9625,32579.875,101787.825,45.439052,-75.658895,,,,,,1.25,Loyola park,Site B,Low Risk,,,,,,,,,,,,,,
Weekday Average,,,,,,,19.965,56.68,2.825,4.925,6.5,9.57,32553.25,39.845,32547.05,100907.125,45.439052,-75.658895,,,,,,1.25,Loyola park,Site B,Low Risk,,,,,,,,,,,,,,
Weekend Average,,,,,,,19.145,46.9175,4.775,7.45,8.425,11.11,32557.6,-39.37,32597.125,101853.65,45.439052,-75.658895,,,,,,1.625,Loyola park,Site B,Low Risk,,,,,,,,,,,,,,
Total Average,,,,,,,19.555,51.79875,3.8,6.1875,7.4625,10.34,32555.425,0.2375,32572.0875,101380.3875,45.439052,-75.658895,,,,,,1.4375,Loyola park,Site B,Low Risk,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location 12,9/12/20 9:58,12-Sep-20,9:58,Morning,6,Weekend,14.21,61.77,1.2,2.1,2.5,-5.65,32547.5,-36.76,32596.6,101766.7,45.437719,-75.657378,,,,,,1,Robertson Rd - The Caregard Group,Site A,Low Risk,,,,,,,,,,,,,,
Bad site,9/04/20 9:09,4-Sep-20,9:09,Morning,5,Weekend,21.97,46.43,0.1,0.4,0.7,167.02,32418.6,109.87,32498.3,100107.5,45.437719,-75.657378,,,,,,2.75,Robertson Rd - The Caregard Group,Site A,Low Risk,,,,,,,,,,,,,,
,8/29/20 16:19,29-Aug-20,16:19:00,Afternoon,6,Weekend,24.53,55.56,2.4,3.2,3.4,93.26,32477.1,31.1,32572.9,98348.5,45.437719,-75.657378,,,,,,1.75,Robertson Rd - The Caregard Group,Site A,Low Risk,,,,,,,,,,,,,,
,9/22/20 16:39,22-Sep-20,16:39:00,Afternoon,2,Weekday,21.85,40.72,2.3,3.8,4.8,86.24,32527,57.37,32559.2,100645.5,45.437719,-75.657378,,,,,,1.75,Robertson Rd - The Caregard Group,Site A,Low Risk,,,,,,,,,,,,,,
Morning Average,,,,,,,18.09,54.1,0.65,1.25,1.6,80.685,32483.05,36.555,32547.45,100937.1,45.437719,-75.657378,,,,,,1.875,Robertson Rd - The Caregard Group,Site A,Low Risk,,,,,,,,,,,,,,
Afternoon Average,,,,,,,23.19,48.14,2.35,3.5,4.1,89.75,32502.05,44.235,32566.05,99497,45.437719,-75.657378,,,,,,1.75,Robertson Rd - The Caregard Group,Site A,Low Risk,,,,,,,,,,,,,,
Weekday Average,,,,,,,21.85,40.72,2.3,3.8,4.8,86.24,32527,57.37,32559.2,100645.5,45.437719,-75.657378,,,,,,1.75,Robertson Rd - The Caregard Group,Site A,Low Risk,,,,,,,,,,,,,,
Weekend Average,,,,,,,20.23666667,54.58666667,1.233333333,1.9,2.2,84.87666667,32481.06667,34.73666667,32555.93333,100074.2333,45.437719,-75.657378,,,,,,1.833333333,Robertson Rd - The Caregard Group,Site A,Low Risk,,,,,,,,,,,,,,
Total Average,,,,,,,20.64,51.12,1.5,2.375,2.85,85.2175,32492.55,40.395,32556.75,100217.05,45.437719,-75.657378,,,,,,1.8125,Robertson Rd - The Caregard Group,Site A,Low Risk,,,,,,,,,,,,,,
Good Site,9/12/20 10:21,12-Sep-20,10:21,Morning,6,Weekend,15.48,60.94666667,3.6,5.5,5.933333333,-16.95666667,32555.6,-19.79,32590.33333,101732.9,45.439052,-75.658895,,,,,,1,Hadley Cir / Wareham St,Site B,Low Risk,,,,,,,,,,,,,,
,9/04/20 9:37,4-Sep-20,9:37:00,Morning,5,Weekend,18.97,56.05,0.1,0.3,0.7,161.21,32422.6,199.76,32462.5,100122.3,45.439052,-75.658895,,,,,,3,Hadley Cir / Wareham St,Site B,Low Risk,,,,,,,,,,,,,,
,8/29/20 16:26,29-Aug-20,16:26:00,Afternoon,6,Weekend,22.16,50.79,1.4,2.2,2.3,80.54,32487,-59.37,32604.4,98371.7,45.439052,-75.658895,,,,,,1.75,Hadley Cir / Wareham St,Site B,Low Risk,,,,,,,,,,,,,,
,9/22/20 16:48,22-Sep-20,16:48:00,Afternoon,2,Weekday,22.75,39.79,1.9,3.2,4,60.37,32544.5,57.37,32559.8,100623.7,45.439052,-75.658895,,,,,,1.75,Hadley Cir / Wareham St,Site B,Low Risk,,,,,,,,,,,,,,
Morning Average,,,,,,,17.225,58.49833334,1.85,2.9,3.316666667,72.12666667,32489.1,89.985,32526.41667,100927.6,45.439052,-75.658895,,,,,,2,Hadley Cir / Wareham St,Site B,Low Risk,,,,,,,,,,,,,,
Afternoon Average,,,,,,,22.455,45.29,1.65,2.7,3.15,70.455,32515.75,-1,32582.1,99497.7,45.439052,-75.658895,,,,,,1.75,Hadley Cir / Wareham St,Site B,Low Risk,,,,,,,,,,,,,,
Weekday Average,,,,,,,22.75,39.79,1.9,3.2,4,60.37,32544.5,57.37,32559.8,100623.7,45.439052,-75.658895,,,,,,1.75,Hadley Cir / Wareham St,Site B,Low Risk,,,,,,,,,,,,,,
Weekend Average,,,,,,,18.87,55.92888889,1.7,2.666666667,2.977777778,74.93111111,32488.4,40.2,32552.41111,100075.6333,45.439052,-75.658895,,,,,,1.916666667,Hadley Cir / Wareham St,Site B,Low Risk,,,,,,,,,,,,,,
Total Average,,,,,,,19.84,51.89416667,1.75,2.8,3.233333333,71.29083333,32502.425,44.4925,32554.25833,100212.65,45.439052,-75.658895,,,,,,1.875,Hadley Cir / Wareham St,Site B,Low Risk,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location 13,8/28/20 8:16,28-Aug-20,8:16,Morning,5,Weekday,18.08,65.27,1.7,2.6,2.8,53.74,32496.8,-42.45,32559.8,100419.7,,,,,,,,1.75,Hawthorne Public School,Site A,Low Risk,,,,,,,,,,,,,,
Bad site,9/04/20 16:49,4-Sep-20,16:49,Afternoon,5,Weekday,24.33,40.96,0,0.5,0.5,242.54,32367,262.19,32438,100417.5,,,,,,,,4,Hawthorne Public School,Site A,Moderate Risk,,,,,,,,,,,,,,
,9/12/20 16:28,12-Sep-20,16:28:00,Afternoon,6,Weekend,26.72,38.9,2.9,3.9,4.4,161.21,32422.2,362.07,32397.8,101450.3,,,,,,,,3.75,Hawthorne Public School,Site A,Moderate Risk,,,,,,,,,,,,,,
,9/20/20 8:21,20-Sep-20,8:21,Morning,7,Weekend,14.51,42.56,1.3,2.6,2.9,71.87,32536.4,-9.56,32587.9,102833.6,,,,,,,,1.25,Hawthorne Public School,Site A,Low Risk,,,,,,,,,,,,,,
Morning Average,,,,,,,16.295,53.915,1.5,2.6,2.85,62.805,32516.6,-26.005,32573.85,101626.65,45.437719,-75.657378,,,,,,1.5,Hawthorne Public School,Site A,Low Risk,,,,,,,,,,,,,,
Afternoon Average,,,,,,,25.525,39.93,1.45,2.2,2.45,201.875,32394.6,312.13,32417.9,100933.9,45.437719,-75.657378,,,,,,3.875,Hawthorne Public School,Site A,Moderate Risk,,,,,,,,,,,,,,
Weekday Average,,,,,,,21.205,53.115,0.85,1.55,1.65,148.14,32431.9,109.87,32498.9,100418.6,45.437719,-75.657378,,,,,,2.875,Hawthorne Public School,Site A,Low Risk,,,,,,,,,,,,,,
Weekend Average,,,,,,,20.615,40.73,2.1,3.25,3.65,116.54,32479.3,176.255,32492.85,102141.95,45.437719,-75.657378,,,,,,2.5,Hawthorne Public School,Site A,Low Risk,,,,,,,,,,,,,,
Total Average,,,,,,,20.91,46.9225,1.475,2.4,2.65,132.34,32455.6,143.0625,32495.875,101280.275,45.437719,-75.657378,,,,,,2.6875,Hawthorne Public School,Site A,Low Risk,,,,,,,,,,,,,,
Good Site,8/28/20 8:44,28-Aug-20,8:44,Morning,5,Weekday,16.98,69.03,1.5,2.4,2.8,23.24,32517.3,-82.4,32575.4,100386,,,,,,,,1.25,Valley Dr/Goren Ave,Site B,Low Risk,,,,,,,,,,,,,,
,9/04/20 16:59,4-Sep-20,16:59:00,Afternoon,5,Weekday,22.48,44.13,0,0,0.1,196.07,32398.8,169.8,32474.9,100439.8,,,,,,,,4.25,Valley Dr/Goren Ave,Site B,Moderate Risk,,,,,,,,,,,,,,
,9/12/20 16:37,12-Sep-20,16:37:00,Afternoon,6,Weekend,23.97,43.58,3.1,4.7,5.2,103.12,32462.8,289.65,32427,101460.9,,,,,,,,2.75,Valley Dr/Goren Ave,Site B,Low Risk,,,,,,,,,,,,,,
,9/20/20 8:47,20-Sep-20,8:47:00,Morning,7,Weekend,12.26,48.48,1.1,2.1,2.6,2.87,32584.6,-40.63,32600.4,102843.8,,,,,,,,1,Valley Dr/Goren Ave,Site B,Low Risk,,,,,,,,,,,,,,
Morning Average,,,,,,,14.62,58.755,1.3,2.25,2.7,13.055,32550.95,-61.515,32587.9,101614.9,45.439052,-75.658895,,,,,,1.125,Valley Dr/Goren Ave,Site B,Low Risk,,,,,,,,,,,,,,
Afternoon Average,,,,,,,23.225,43.855,1.55,2.35,2.65,149.595,32430.8,229.725,32450.95,100950.35,45.439052,-75.658895,,,,,,3.5,Valley Dr/Goren Ave,Site B,Moderate Risk,,,,,,,,,,,,,,
Weekday Average,,,,,,,19.73,56.58,0.75,1.2,1.45,109.655,32458.05,43.7,32525.15,100412.9,45.439052,-75.658895,,,,,,2.75,Valley Dr/Goren Ave,Site B,Low Risk,,,,,,,,,,,,,,
Weekend Average,,,,,,,18.115,46.03,2.1,3.4,3.9,52.995,32523.7,124.51,32513.7,102152.35,45.439052,-75.658895,,,,,,1.875,Valley Dr/Goren Ave,Site B,Low Risk,,,,,,,,,,,,,,
Total Average,,,,,,,18.9225,51.305,1.425,2.3,2.675,81.325,32490.875,84.105,32519.425,101282.625,45.439052,-75.658895,,,,,,2.3125,Valley Dr/Goren Ave,Site B,Low Risk,,,,,,,,,,,,,,
